From,To,Percentage
Acquiescent immobility (job proxy),Acquiescent immobility (education proxy),"6,345"
Acquiescent immobility (job proxy),Involuntary immobility (education proxy),0
Acquiescent immobility (job proxy),Voluntary immobility (education proxy),"1,244"
Acquiescent immobility (job proxy),Mobility (education proxy),0
Involuntary immobility (job proxy),Acquiescent immobility (education proxy),0
Involuntary immobility (job proxy),Involuntary immobility (education proxy),776
Involuntary immobility (job proxy),Voluntary immobility (education proxy),0
Involuntary immobility (job proxy),Mobility (education proxy),619
Voluntary immobility (job proxy),Acquiescent immobility (education proxy),"6,820"
Voluntary immobility (job proxy),Involuntary immobility (education proxy),0
Voluntary immobility (job proxy),Voluntary immobility (education proxy),"1,903"
Voluntary immobility (job proxy),Mobility (education proxy),0
Mobility (job proxy),Acquiescent immobility (education proxy),0
Mobility (job proxy),Involuntary immobility (education proxy),"1,187"
Mobility (job proxy),Voluntary immobility (education proxy),0
Mobility (job proxy),Mobility (education proxy),788
